Project name,Country,Site,Latitude,Longitude,Exposure,Quadrat size,Reef type,Reef zone,Date,Start time,Tide,Visibility,Current,Depth,Management name,Management secondary name,Management year established,Management size,Governance,Estimated compliance,Management rules,Observer,Quadrat collection label,Site notes,Sampling event notes,Management notes,Benthic attribute,Growth form,Normal count,Pale count,0-20% bleached count,20-50% bleached count,50-80% bleached count,80-100% bleached count,Recently dead count,Observation notes
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,Porites,Branching,9,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,Stylophora,,2,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,Favia,,0,1,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,Acropora,,6,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,Echinopora,,4,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,Porites,Branching,24,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,Montipora,,142,0,0,0,0,0,1,
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,Pachyseris,,16,1,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,Zoopilus,,1,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,Fungia,,7,0,5,1,0,0,0,
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,Pavona,,9,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,Leptastrea,,3,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,Turbinaria-coral,,5,0,0,0,0,0,0,
